comparison_id,trial_id,ae_concept,source_pair,analysis_tier_current,grade_basis_current,arm_id_1,arm_id_2,term_1,term_2,locator_1,locator_2,number_patients_1,number_patients_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_population_1,analysis_population_2,visual_audit_status,structured_audit_concept_mapping,structured_audit_arm_match,structured_audit_denominator_check,structured_audit_source_confirmation,structured_audit_visual_status,final_current_analysis_tier,audit_notes
FULLCOMP000052,TRIAL002,adverse_event_leading_to_discontinuation,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Adverse events leading to permanent treatment discontinuation,Discontinuation due to TEAEs,main article p6,"Table 27, FDA review p148",8,8,95,95,8.0,8.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000055,TRIAL002,adverse_event_leading_to_discontinuation,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Adverse events leading to permanent treatment discontinuation,Discontinuation due to TEAEs,main article p6,"Table 27, FDA review p148",10,10,99,99,10.0,10.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000056,TRIAL002,any_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Any adverse event,Any Grade TEAEs,main article p6,"Table 27, FDA review p148",93,93,95,95,98.0,98.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000059,TRIAL002,any_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Any adverse event,Any Grade TEAEs,main article p6,"Table 27, FDA review p148",99,99,99,99,100.0,100.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000060,TRIAL002,dose_interruption,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Adverse events leading to dose delays,Dose interruption due to TEAEs,main article p6,"Table 27, FDA review p148",51,51,95,95,54.0,54.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000063,TRIAL002,dose_interruption,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Adverse events leading to dose delays,Dose interruption due to TEAEs,main article p6,"Table 27, FDA review p148",61,61,99,99,62.0,62.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000064,TRIAL002,dose_reduction,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Adverse events leading to dose reductions,Dose reduction due to TEAEs,main article p6,"Table 27, FDA review p148",28,28,95,95,29.0,29.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000067,TRIAL002,dose_reduction,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Adverse events leading to dose reductions,Dose reduction due to TEAEs,main article p6,"Table 27, FDA review p148",41,41,99,99,41.0,41.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000073,TRIAL002,fatal_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG000,TRIAL002_EG000,Death because of serious adverse event,Fatal (Grade 5) TEAEs,main article p7-8,"Table 27, FDA review p148",3,3,95,95,3.0,3.0,0.00,2.5 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
FULLCOMP000081,TRIAL002,fatal_adverse_event,publication vs FDA review,primary_candidate,automatic_A_from_full_cohort_matrix,TRIAL002_EG001,TRIAL002_EG001,Death because of serious adverse event,Fatal (Grade 5) TEAEs,main article p7-8,"Table 27, FDA review p148",7,7,99,99,7.0,7.0,0.00,3.4 mg/kg safety population,DREAMM-2 safety population,analysis_ready_confirmed_with_visual_audit,prespecified_core_concept,recorded_from_matrix,recorded_from_matrix,auto_source_confirmed,analysis_ready_confirmed_with_visual_audit,primary_candidate,Structured audit trail only; independent duplicate reviewer fields were not collected.
