simulation_record_id,trial_id,short_trial_name,safety_concept,source_pair,five_state_status_current,simulated_reviewer_A_decision,simulated_reviewer_B_decision,simulated_agreement,resolution_for_stress_test,simulation_note
SIMSTRATA001,TRIAL001,DESTINY-Breast01,any_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA002,TRIAL001,DESTINY-Breast01,grade_3_or_higher_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA003,TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs FDA review,comparable_but_discordant,sensitivity_comparable,sensitivity_comparable,yes,sensitivity_comparable,Simulated reviewers agree.
SIMSTRATA004,TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA005,TRIAL001,DESTINY-Breast01,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA006,TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA007,TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA008,TRIAL001,DESTINY-Breast01,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA009,TRIAL001,DESTINY-Breast01,adverse_event_leading_to_discontinuation,publication vs FDA review,reported_but_non_comparable,non_comparable,sensitivity_comparable,no,retain_current_project_classification,Simulated reviewer B treated this as borderline sensitivity-comparable.
SIMSTRATA010,TRIAL001,DESTINY-Breast01,dose_interruption,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA011,TRIAL001,DESTINY-Breast01,dose_reduction,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA012,TRIAL002,DREAMM-2,any_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA013,TRIAL002,DREAMM-2,serious_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
